各地卫视,#genre#
天津新闻,http://111.160.17.2:59901/tsfile/live/0001_22.m3u8
天津文艺,http://111.160.17.2:59901/tsfile/live/0001_23.m3u8
天津影视,http://111.160.17.2:59901/tsfile/live/0001_24.m3u8
天津体育,http://111.160.17.2:59901/tsfile/live/0001_25.m3u8
天津教育,http://111.160.17.2:59901/tsfile/live/0001_26.m3u8
滨海新闻,http://traffic.jbh.tjbh.com/live/bhtv10/playlist.m3u8
北京卫视,http://my.tmos.cn:15181/chs002.m3u8
江西卫视,http://203.205.191.53/yun-live.jxtvcn.com.cn/live-jxtv/tv_jxtv1.m3u8
江苏卫视,http://my.tmos.cn:15181/chs003.m3u8
浙江卫视,http://my.tmos.cn:15181/chs004.m3u8
浙江卫视2,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
广东卫视,http://my.tmos.cn:15181/chs006.m3u8
东莞新闻综合,http://stream.sun0769.com/dgrtv1/mp4tv1_1500/index.m3u8
南宁公共,http://hls.nntv.cn/nnlive/GGPD_24.m3u8
海南卫视,https://livelyws.chinamcache.com/lyws/zb03.m3u8
黑龙江卫视,https://idclive.hljtv.com:4430/live/hljws_own.m3u8
黑龙江卫视2,http://my.tmos.cn:15181/chs005.m3u8
吉林卫视,https://lsfb.avap.jilintv.cn/zqvk7vpj/channel/0533b55e42354f4f802bdec78e26b571/1.m3u8
内蒙古卫视,http://play1-qk.nmtv.cn/live/1686560423879174.m3u8
宁夏卫视,http://stream.nxtv.com.cn/wspd/sd/live.m3u8
甘肃卫视,https://hls.gstv.com.cn/skt649/c7yia3.m3u8
甘肃卫视2,https://liveout.gstv.com.cn/skt649/c7yia3.m3u8
甘肃文化影视,https://hls.gstv.com.cn/skt649/oip0kg.m3u8
甘肃文化影视2,https://liveout.gstv.com.cn/skt649/oip0kg.m3u8
甘肃少儿,https://hls.gstv.com.cn/skt649/mmkwqg.m3u8
甘肃少儿2,https://liveout.gstv.com.cn/skt649/mmkwqg.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
河北卫视,http://hls.hsrtv.cn/live/hbws.m3u8
安徽卫视,http://203.205.191.53/live.ahsx.ahtv.cn/live/ahwssx.m3u8
安徽公共,http://203.205.191.53/live.ahsx.ahtv.cn/live/ggtv.m3u8
武汉新闻综合,http://stream.appwuhan.com:80/1tzb/sd/live.m3u8
武汉电视剧,http://stream.appwuhan.com/2tzb/sd/live.m3u8
武汉科技生活,http://stream.appwuhan.com/3tzb/sd/live.m3u8
武汉经济.http://stream.appwuhan.com/4tzb/sd/live.m3u8
武汉文体.http://stream.appwuhan.com/5tzb/sd/live.m3u8
